Date,Amount Salary,Amount BankSC,13 Drews Ct.,Work Related/Other,Description,Description II,Receipt Group,,,,,,,,,,,,,,
12/9/2013,-64.19,,,,Gifts,Surf Rod-Dad,,,,,,,,,,,,,,,
12/10/2013,-8.24,,,,Restaurant Meal,Swanson's Deli,,,,,,,,,,,,,,,
12/11/2013,-4.73,,,,Coffee,,,,,,,,,,,,,,,,
1212/2013,-4.73,,,,Coffee,,,,,,,,,,,,,,,,
12/13/2013,1008.83,,,,Salary,,,,,,,,,,,,,,,,
12/13/2013,-43.73,,,,Gas,,,,,,,,,,,,,,,,
12/14/2013,-50,,,,Gifts,Mary Stewarts Husband-homedepot gift card,,,,,,,,,,,,,,,
12/14/2013,-7.96,,,,Hardware,Homedepot-hindges,,,,,,,,,,,,,,,
12/16/2013,-29.79,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
12/17/2013,-11.43,,,,Groceries,Wallgreens,,,,,,,,,,,,,,,
12/16/2013,,,,,Restaurant Meal,Sakura,,,,,,,,,,,,,,,
12/13/2013,-1.38,,,,Coffee,First Citizens,,,,,,,,,,,,,,,
12/17/2013,-7.5,,,,Restaurant Meal,Pizza Man,,,,,,,,,,,,,,,
12/17/2013,-43.68,,,,Gifts,Virginia-books,,,,,,,,,,,,,,,
12/18/2013,,-300,,,Charitable Gift,CCL,,,,,,,,,,,,,,,
12/21/2013,-27.76,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
12/21/2013,-10,,,,Beer Supplies,,,,,,,,,,,,,,,,
12/21/2013,-11,,,,Restaurant Meal,,,,,,,,,,,,,,,,
12/21/2013,-25,,,,Golf,Muni,,,,,,,,,,,,,,,
12/21/2013,-4.33,,,,Condoms,,,,,,,,,,,,,,,,
12/20/2013,-7,,,,Bar,Wet Willies,,,,,,,,,,,,,,,
12/20/2013,-6,,,,Bar,Pub Classic?,,,,,,,,,,,,,,,
12/20/2013,-7.07,,,,Bar,Taco Boy,,,,,,,,,,,,,,,
12/20/2013,-9.62,,,,Restaurant Meal,Spice Junction,,,,,,,,,,,,,,,
12/19/2013,-30,,,,Gas,,,,,,,,,,,,,,,,
12/23/2013,-11,,,,Restaurant Meal,Papa Zuzus,,,,,,,,,,,,,,,
12/23/2013,-10,,,,Beer Supplies,Bottles,,,,,,,,,,,,,,,
12/23/2013,-27.76,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
12/23/2013,-10.06,,,,Hardware,Lowes (for chest),,,,,,,,,,,,,,,
12/26/2013,-5.43,,,,Gifts,Bottle of wine,,,,,,,,,,,,,,,
12/26/2013,-13.22,,,,Beer,,,,,,,,,,,,,,,,
12/27/2013,-7.57,,,,Restaurant Meal,Fish Net,,,,,,,,,,,,,,,
12/29/2013,-36.58,,,,Gas,,,,,,,,,,,,,,,,
12/30/2013,-8.79,,,,Restaurant Meal,,,,,,,,,,,,,,,,
12/30/2013,-54.9,,,,Electricity,,,,,,,,,,,,,,,,
12/30/2013,-51.46,,,,Internet Bill,,,,,,,,,,,,,,,,
12/30/2013,-76.99,,,,Medical Expense,"TDAP, Flu Shot",,,,,,,,,,,,,,,
12/30/2013,-15.8,,,,Groceries,Kroger,,,,,,,,,,,,,,,
12/30/2013,-38.31,,,,Groceries,Trader Joes,,,,,,,,,,,,,,,
1/1/2014,-10.58,,,,Restaurant Meal,Chic-Filet,,,,,,,,,,,,,,,
1/1/2014,1009.45,,,,Salary,,,,,,,,,,,,,,,,
1/2/2014,-875,,,,Rent,,,,,,,,,,,,,,,,
1/6/2014,-21.97,,,,Restaurant Meal,Reu de Jean,,,,,,,,,,,,,,,
1/6/2014,-9.89,,,,Restaurant Meal,M Fresh,,,,,,,,,,,,,,,
1/7/2014,-27.76,,,,AT&T Phone Bill,,,,,,,,,,,,,,,,
1/7/2014,-14,,,,Hair Cut,Great Clips,,,,,,,,,,,,,,,
1/7/2014,-23.52,,,,Groceries,Publix,,,,,,,,,,,,,,,
1/8/2014,-17.52,,,,Restaurant Meal,Sun Ming,,,,,,,,,,,,,,,
1/2/2014,-54.9,,,,Electricity,,,,,,,,,,,,,,,,
1/6/2014,-42,,,,Gas,,,,,,,,,,,,,,,,
1/8/2014,,-527,,,Medical Expense,Anesthesiology Consultant,,,,,,,,,,,,,,,
1/8/2014,-599,,,,Education,Welding Beginner Arc,,,,,,,,,,,,,,,
1/11/2014,-103.5,,,,Cash,,,,,,,,,,,,,,,,
1/10/2014,-1.65,,,,Coffee,1st Citizens,,,,,,,,,,,,,,,
1/10/2014,-13.26,,,,Restaurant Meal,Desanos,,,,,,,,,,,,,,,
1/10/2014,-14,,,,Bar,The Warehouse,,,,,,,,,,,,,,,
